MDLYR_DT,VI_MFR_CD,VI_MFR_NM,GBE_INDX_NUM,OV_ID,VC_CNFG_NUM,CL_NM,CLS_TYP_CD,GBE_CID_MSR,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,ECS_CD_0,ECS_CD_1,ECS_CD_2,ECS_CD_3,EVCS_CD,TRNS,DRV_SYS_CD,TOD_CD,VC_DSN_ETW_MSR,VC_CMPRSN_RAT_MSR,VC_AXLE_RAT_MSR,VC_NV_RAT_MSR,TPF_ACHP_IND_CD,TPF_DYNO_HP_MSR,SIL_CD,TST_PRC_CD,TST_PRPS_CD,TST_NUM_ID,Test Originator,VEH_FL_TYP_CD,CH_CD,AVRG_CD,GT_WT_MSR,CMYT_HC_FE_MSR,CMYT_CO_FE_MSR,CMYT_CO2_FE_MSR,CMYT_NOX_MSR,CMYT_PM_MSR,GT_RND_ADJ_QTY,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,ENG_CD,EF_ID,VC_CYL_CNT,TPF_MFR_CSTDN_MSR
2004,20,Chrysler LLC,10,L3PLD0240,0,NEON/SRT-4/SX 2.0,C,122,N,132,,,,,,102,L4,F,2,3000,9.8,2.69,39.2,Y,12.7,1,3,31,1044130,MFR,61,H,,,0.003,0.16,214,,,41.3,31.030,0.52260,0.015090,3.638,0.48220,0.012200,AA-100,4CRXV02.0VH0,4,14.67
2004,20,Chrysler LLC,10,L3PLD0240,0,NEON/SRT-4/SX 2.0,C,122,N,132,,,,,,102,L4,F,2,3000,9.8,2.69,39.2,Y,12.7,1,21,31,1044129,MFR,61,C,,,0.036,0.27,314,0.04,,28.1,31.030,0.52260,0.015090,3.638,0.48220,0.012200,AA-100,4CRXV02.0VH0,4,14.67
2004,20,Chrysler LLC,10,L3PLD4509,0,NEON/SRT-4/SX 2.0,C,122,N,132,,,,,,102,M5,F,2,3000,9.8,2.56,37.3,Y,11.8,1,3,31,1044096,MFR,61,H,,,0.004,0.19,193,,,45.7,29.910,0.11930,0.021020,7.800,-0.02710,0.021420,AM-200,4CRXV02.0VH0,4,15.75
2004,20,Chrysler LLC,10,L3PLD4509,0,NEON/SRT-4/SX 2.0,C,122,N,132,,,,,,102,M5,F,2,3000,9.8,2.56,37.3,Y,11.8,1,21,31,1043320,MFR,61,C,,,0.043,0.41,274,0.02,,32.2,29.910,0.11930,0.021020,7.800,-0.02710,0.021420,AM-200,4CRXV02.0VH0,4,15.75
2004,20,Chrysler LLC,20,F3JRC0039,0,STRATUS 4-DR,C,148,N,167,,,,,,102,L4,F,2,3500,9.5,2.69,36.8,Y,,1,3,31,1043891,MFR,61,H,,,0.002,0.06,233,,,37.9,32.670,0.17120,0.018890,11.460,0.22030,0.018890,NA-100,4CRXV02.4VM0,4,18.36
2004,20,Chrysler LLC,20,F3JRC0039,0,STRATUS 4-DR,C,148,N,167,,,,,,102,L4,F,2,3500,9.5,2.69,36.8,Y,,1,21,31,1043890,MFR,61,C,,,0.037,0.57,359,0.03,,24.6,32.670,0.17120,0.018890,11.460,0.22030,0.018890,NA-100,4CRXV02.4VM0,4,18.36
2004,20,Chrysler LLC,31,V2LHD1033,0,INTREPID,C,165,N,200,,,,,,102,L4,F,2,3750,9.7,2.68,34.9,Y,,1,3,31,1044242,MFR,61,H,,,0.010,0.07,237,,,37.3,34.680,0.18060,0.018180,0.890,0.25230,0.015360,NA-100,4CRXV02.7VM1,4,19.51
2004,20,Chrysler LLC,31,V2LHD1033,0,INTREPID,C,165,N,200,,,,,,102,L4,F,2,3750,9.7,2.68,34.9,Y,,1,21,31,1044241,MFR,61,C,,,0.050,0.28,373,0.11,,23.7,34.680,0.18060,0.018180,0.890,0.25230,0.015360,NA-100,4CRXV02.7VM1,4,19.51
2004,20,Chrysler LLC,31,V1JRD9921,2,STRATUS 4-DR,C,165,N,200,,,,,,102,M5,F,2,3625,9.7,3.12,42.6,Y,,1,3,1,1041092,MFR,6,H,,,0.004,0.31,251,,,35.2,37.840,0.20840,0.019800,20.970,-0.19590,0.022000,AM-200,4CRXV02.7VH0,6,17.20
2004,20,Chrysler LLC,31,V1JRD9921,2,STRATUS 4-DR,C,165,N,200,,,,,,102,M5,F,2,3625,9.7,3.12,42.6,Y,,1,3,1,1041093,MFR,6,H,,,0.003,0.31,256,,,34.5,37.840,0.20840,0.019800,20.970,-0.19590,0.022000,AM-200,4CRXV02.7VH0,6,17.20
